City,Count of Winner,Latitude (generated),Longitude (generated)
Visakhapatnam,13,17.7,83.25
Sharjah,12,25.362,55.391
Ranchi,7,23.3556,85.3347
Rajkot,10,22.2969,70.7984
Raipur,6,21.25,81.629997
Pune,38,18.5236,73.8478
Port Elizabeth,7,-33.918,25.5701
Nagpur,3,21.1539,79.0831
NA,13,,
Mumbai,101,18.9667,72.8333
Kolkata,77,22.5411,88.3378
Kochi,5,9.931233,76.267303
Kimberley,3,-28.741943,24.771944
Kanpur,4,26.4725,80.3311
Johannesburg,8,-26.195246,28.034088
Jaipur,47,26.9167,75.8667
Indore,9,22.719568,75.857727
Hyderabad,64,17.38714,78.491684
East London,3,-33.0154,27.904
Durban,15,-29.8579,31.0292
Dubai,26,25.252,55.28
Dharamsala,9,32.2167,76.3167
Delhi,74,28.6448,77.216721
Cuttack,7,20.45,85.8667
Chennai,57,13.09,80.27
Chandigarh,56,30.7353,76.7911
Centurion,12,-25.8589,28.1858
Cape Town,7,-33.9351,18.4289
Bloemfontein,2,-29.1245,26.2862
Bengaluru,15,12.9699,77.598
Bangalore,65,12.9699,77.598
Ahmedabad,12,23.03,72.58
Abu Dhabi,29,24.466,54.366
